source,target,ligand,receptor,prob,pval,interaction_name,interaction_name_2,pathway_name,annotation,evidence,condition
Mesenchyme,Mesenchyme,PDGFA,PDGFRB,1.801454390870861e-5,0,PDGFA_PDGFRB,PDGFA - PDGFRB,PDGF,Secreted Signaling,PMID: 15207812,healthy
Cholangiocyte,Mesenchyme,PDGFD,PDGFRB,7.990706306394967e-6,0,PDGFD_PDGFRB,PDGFD - PDGFRB,PDGF,Secreted Signaling,PMID: 15207812,healthy
Cycling,Mesenchyme,TNF,TNFRSF1A,8.806138381690762e-7,0,TNF_TNFRSF1A,TNF - TNFRSF1A,TNF,Secreted Signaling,KEGG: hsa04060,healthy
T cell,Mesenchyme,TNF,TNFRSF1A,4.0601646411225816e-5,0,TNF_TNFRSF1A,TNF - TNFRSF1A,TNF,Secreted Signaling,KEGG: hsa04060,healthy
Hepatocyte,Mesenchyme,ANGPTL4,SDC2,1.6255920345516722e-7,0,ANGPTL4_SDC2,ANGPTL4 - SDC2,ANGPTL,Secreted Signaling,PMID: 29017031,healthy
Mesenchyme,Mesenchyme,ANGPTL4,SDC2,9.201988443859405e-6,0,ANGPTL4_SDC2,ANGPTL4 - SDC2,ANGPTL,Secreted Signaling,PMID: 29017031,healthy
Endothelia,Mesenchyme,MDK,SDC2,1.1216981674151369e-5,0,MDK_SDC2,MDK - SDC2,MK,Secreted Signaling,PMID: 28356350,healthy
Mesenchyme,Mesenchyme,MDK,SDC2,6.84971364251884e-6,0,MDK_SDC2,MDK - SDC2,MK,Secreted Signaling,PMID: 28356350,healthy
Plasma cell,Mesenchyme,MDK,SDC2,5.961714107614319e-7,0,MDK_SDC2,MDK - SDC2,MK,Secreted Signaling,PMID: 28356350,healthy
Endothelia,Mesenchyme,MDK,NCL,4.0495057349863354e-5,0,MDK_NCL,MDK - NCL,MK,Secreted Signaling,PMID: 28356350,healthy
Mesenchyme,Mesenchyme,MDK,NCL,2.4694383621259133e-5,0,MDK_NCL,MDK - NCL,MK,Secreted Signaling,PMID: 28356350,healthy
Plasma cell,Mesenchyme,MDK,NCL,2.1614399322136376e-6,0,MDK_NCL,MDK - NCL,MK,Secreted Signaling,PMID: 28356350,healthy
Mesenchyme,Mesenchyme,PTN,SDC2,7.50070760409583e-6,0,PTN_SDC2,PTN - SDC2,PTN,Secreted Signaling,PMID: 28356350; PMID: 25620911,healthy
Mesenchyme,Mesenchyme,PTN,NCL,2.7019345295010253e-5,0,PTN_NCL,PTN - NCL,PTN,Secreted Signaling,PMID: 28356350; PMID: 25620911,healthy
Endothelia,Mesenchyme,EDN1,EDNRA,1.203059155986191e-5,0,EDN1_EDNRA,EDN1 - EDNRA,EDN,Secreted Signaling,KEGG: hsa04080,healthy
Mesenchyme,Mesenchyme,NTF3,NTRK2,8.307032304135973e-6,0,NTF3_NTRK2,NTF3 - NTRK2,NT,Secreted Signaling,PMID: 27908981,healthy
Endothelia,Mesenchyme,GAS6,AXL,2.5182449295454154e-5,0,GAS6_AXL,GAS6 - AXL,GAS,Secreted Signaling,PMID: 27801848,healthy
Hepatocyte,Mesenchyme,GAS6,AXL,5.991690832818424e-8,0,GAS6_AXL,GAS6 - AXL,GAS,Secreted Signaling,PMID: 27801848,healthy
Mesenchyme,Mesenchyme,GAS6,AXL,1.3464989803101708e-5,0,GAS6_AXL,GAS6 - AXL,GAS,Secreted Signaling,PMID: 27801848,healthy
pDC,Mesenchyme,GAS6,AXL,2.802772934252876e-6,0,GAS6_AXL,GAS6 - AXL,GAS,Secreted Signaling,PMID: 27801848,healthy
Plasma cell,Mesenchyme,GAS6,AXL,7.988412585801495e-7,0,GAS6_AXL,GAS6 - AXL,GAS,Secreted Signaling,PMID: 27801848,healthy
Endothelia,Mesenchyme,PROS1,AXL,1.5162381867178964e-5,0,PROS1_AXL,PROS1 - AXL,PROS,Secreted Signaling,PMID: 29531161,healthy
Hepatocyte,Mesenchyme,PROS1,AXL,5.835701035831121e-7,0,PROS1_AXL,PROS1 - AXL,PROS,Secreted Signaling,PMID: 29531161,healthy
Endothelia,Mesenchyme,LAMB2,ITGA7_ITGB1,2.533230432220941e-5,0,LAMB2_ITGA7_ITGB1,LAMB2 - (ITGA7+ITGB1),LAMININ,ECM-Receptor,KEGG: hsa04512,healthy
Hepatocyte,Mesenchyme,LAMB2,ITGA7_ITGB1,1.0453544498238407e-7,0,LAMB2_ITGA7_ITGB1,LAMB2 - (ITGA7+ITGB1),LAMININ,ECM-Receptor,KEGG: hsa04512,healthy
Cholangiocyte,Mesenchyme,THBS1,CD47,2.114743791196654e-6,0,THBS1_CD47,THBS1 - CD47,THBS,ECM-Receptor,KEGG: hsa04512,healthy
Mesenchyme,Mesenchyme,THBS1,CD47,4.442851974361418e-6,0,THBS1_CD47,THBS1 - CD47,THBS,ECM-Receptor,KEGG: hsa04512,healthy
Cholangiocyte,Mesenchyme,APP,CD74,2.480359699864344e-5,0,APP_CD74,APP - CD74,APP,Cell-Cell Contact,PMID: 19849849,healthy
Endothelia,Mesenchyme,APP,CD74,1.0959051309634758e-4,0,APP_CD74,APP - CD74,APP,Cell-Cell Contact,PMID: 19849849,healthy
Mesenchyme,Mesenchyme,APP,CD74,1.0850893269375209e-5,0,APP_CD74,APP - CD74,APP,Cell-Cell Contact,PMID: 19849849,healthy
pDC,Mesenchyme,APP,CD74,3.0597255483632357e-6,0,APP_CD74,APP - CD74,APP,Cell-Cell Contact,PMID: 19849849,healthy
Cholangiocyte,Mesenchyme,CD46,JAG1,3.074665565744647e-6,0,CD46_JAG1,CD46 - JAG1,CD46,Cell-Cell Contact,PMID: 23086448,healthy
Endothelia,Mesenchyme,CD46,JAG1,1.2147644083082198e-5,0,CD46_JAG1,CD46 - JAG1,CD46,Cell-Cell Contact,PMID: 23086448,healthy
Hepatocyte,Mesenchyme,CD46,JAG1,1.9307711955028317e-7,0,CD46_JAG1,CD46 - JAG1,CD46,Cell-Cell Contact,PMID: 23086448,healthy
Plasma cell,Mesenchyme,CD46,JAG1,3.940806572003115e-7,0,CD46_JAG1,CD46 - JAG1,CD46,Cell-Cell Contact,PMID: 23086448,healthy
Cycling,Mesenchyme,CD99,CD99,4.1258337041412815e-5,0,CD99_CD99,CD99 - CD99,CD99,Cell-Cell Contact,KEGG: hsa04514,healthy
Endothelia,Mesenchyme,CD99,CD99,2.36815504026269e-4,0,CD99_CD99,CD99 - CD99,CD99,Cell-Cell Contact,KEGG: hsa04514,healthy
ILC,Mesenchyme,CD99,CD99,6.673779594709787e-4,0,CD99_CD99,CD99 - CD99,CD99,Cell-Cell Contact,KEGG: hsa04514,healthy
Mesenchyme,Mesenchyme,CD99,CD99,9.177760734081058e-5,0,CD99_CD99,CD99 - CD99,CD99,Cell-Cell Contact,KEGG: hsa04514,healthy
T cell,Mesenchyme,CD99,CD99,6.433416818229725e-4,0,CD99_CD99,CD99 - CD99,CD99,Cell-Cell Contact,KEGG: hsa04514,healthy
Endothelia,Mesenchyme,ESAM,ESAM,4.599306329381228e-5,0,ESAM_ESAM,ESAM - ESAM,ESAM,Cell-Cell Contact,KEGG: hsa04514; PMID: 11279107,healthy
Hepatocyte,Mesenchyme,ESAM,ESAM,3.3927112790873306e-8,0,ESAM_ESAM,ESAM - ESAM,ESAM,Cell-Cell Contact,KEGG: hsa04514; PMID: 11279107,healthy
Mesenchyme,Mesenchyme,ESAM,ESAM,7.351552138854463e-6,0,ESAM_ESAM,ESAM - ESAM,ESAM,Cell-Cell Contact,KEGG: hsa04514; PMID: 11279107,healthy
Endothelia,Mesenchyme,DLL4,NOTCH3,3.558726289529472e-5,0,DLL4_NOTCH3,DLL4 - NOTCH3,NOTCH,Cell-Cell Contact,PMID: 22353464,healthy
Cholangiocyte,Mesenchyme,JAG1,NOTCH3,9.272914622991315e-6,0,JAG1_NOTCH3,JAG1 - NOTCH3,NOTCH,Cell-Cell Contact,PMID: 22353464,healthy
Mesenchyme,Mesenchyme,JAG1,NOTCH3,1.894122637510918e-5,0,JAG1_NOTCH3,JAG1 - NOTCH3,NOTCH,Cell-Cell Contact,PMID: 22353464,healthy
Hepatocyte,Mesenchyme,GDF15,TGFBR2,2.059763544739755e-7,0,GDF15_TGFBR2,GDF15 - TGFBR2,GDF,Secreted Signaling,KEGG: hsa04350,cirrhotic
Cholangiocyte,Mesenchyme,PDGFC,PDGFRA,1.8703230404775333e-6,0,PDGFC_PDGFRA,PDGFC - PDGFRA,PDGF,Secreted Signaling,PMID: 15207812,cirrhotic
Cholangiocyte,Mesenchyme,PDGFD,PDGFRB,1.4892118770535025e-5,0,PDGFD_PDGFRB,PDGFD - PDGFRB,PDGF,Secreted Signaling,PMID: 15207812,cirrhotic
B cell,Mesenchyme,TNF,TNFRSF1A,3.550155521076872e-6,0,TNF_TNFRSF1A,TNF - TNFRSF1A,TNF,Secreted Signaling,KEGG: hsa04060,cirrhotic
Cycling,Mesenchyme,TNF,TNFRSF1A,7.035253853807901e-7,0.01,TNF_TNFRSF1A,TNF - TNFRSF1A,TNF,Secreted Signaling,KEGG: hsa04060,cirrhotic
T cell,Mesenchyme,TNF,TNFRSF1A,2.704984559535968e-5,0,TNF_TNFRSF1A,TNF - TNFRSF1A,TNF,Secreted Signaling,KEGG: hsa04060,cirrhotic
Mesenchyme,Mesenchyme,TNFSF12,TNFRSF12A,8.8505110896675e-7,0,TNFSF12_TNFRSF12A,TNFSF12 - TNFRSF12A,TWEAK,Secreted Signaling,KEGG: hsa04060,cirrhotic
Cholangiocyte,Mesenchyme,SPP1,CD44,5.0659663647523584e-5,0,SPP1_CD44,SPP1 - CD44,SPP1,Secreted Signaling,PMID: 21907263,cirrhotic
Hepatocyte,Mesenchyme,SPP1,CD44,6.54232319544371e-7,0,SPP1_CD44,SPP1 - CD44,SPP1,Secreted Signaling,PMID: 21907263,cirrhotic
Cholangiocyte,Mesenchyme,ANGPTL1,ITGA1_ITGB1,1.5892722102316645e-5,0,ANGPTL1_ITGA1_ITGB1,ANGPTL1 - (ITGA1+ITGB1),ANGPTL,Secreted Signaling,PMID: 24478758,cirrhotic
Cholangiocyte,Mesenchyme,MDK,LRP1,1.5967342592749432e-5,0,MDK_LRP1,MDK - LRP1,MK,Secreted Signaling,PMID: 28356350,cirrhotic
Endothelia,Mesenchyme,MDK,LRP1,1.7441997264132776e-5,0,MDK_LRP1,MDK - LRP1,MK,Secreted Signaling,PMID: 28356350,cirrhotic
Hepatocyte,Mesenchyme,MDK,LRP1,5.850876641736125e-7,0,MDK_LRP1,MDK - LRP1,MK,Secreted Signaling,PMID: 28356350,cirrhotic
Mesenchyme,Mesenchyme,MDK,LRP1,6.141122672901816e-6,0,MDK_LRP1,MDK - LRP1,MK,Secreted Signaling,PMID: 28356350,cirrhotic
Plasma cell,Mesenchyme,MDK,LRP1,4.4879266744826897e-7,0,MDK_LRP1,MDK - LRP1,MK,Secreted Signaling,PMID: 28356350,cirrhotic
Cholangiocyte,Mesenchyme,MDK,NCL,4.9144415464039266e-5,0,MDK_NCL,MDK - NCL,MK,Secreted Signaling,PMID: 28356350,cirrhotic
Endothelia,Mesenchyme,MDK,NCL,5.4007705438184416e-5,0,MDK_NCL,MDK - NCL,MK,Secreted Signaling,PMID: 28356350,cirrhotic
Hepatocyte,Mesenchyme,MDK,NCL,1.81592312316964e-6,0,MDK_NCL,MDK - NCL,MK,Secreted Signaling,PMID: 28356350,cirrhotic
Mesenchyme,Mesenchyme,MDK,NCL,1.8857604225846656e-5,0,MDK_NCL,MDK - NCL,MK,Secreted Signaling,PMID: 28356350,cirrhotic
Plasma cell,Mesenchyme,MDK,NCL,1.396243607335756e-6,0,MDK_NCL,MDK - NCL,MK,Secreted Signaling,PMID: 28356350,cirrhotic
Mesenchyme,Mesenchyme,PTN,NCL,8.561729287655571e-6,0,PTN_NCL,PTN - NCL,PTN,Secreted Signaling,PMID: 28356350; PMID: 25620911,cirrhotic
Endothelia,Mesenchyme,EDN1,EDNRB,5.154221017256197e-6,0,EDN1_EDNRB,EDN1 - EDNRB,EDN,Secreted Signaling,KEGG: hsa04080,cirrhotic
MP,Mesenchyme,LGALS9,CD44,2.9389743860289052e-5,0,LGALS9_CD44,LGALS9 - CD44,GALECTIN,Secreted Signaling,PMID: 25065622,cirrhotic
Mesenchyme,Mesenchyme,COL1A1,ITGA1_ITGB1,2.569967583511438e-5,0,COL1A1_ITGA1_ITGB1,COL1A1 - (ITGA1+ITGB1),COLLAGEN,ECM-Receptor,KEGG: hsa04512,cirrhotic
Mesenchyme,Mesenchyme,COL1A2,ITGA1_ITGB1,2.5250747846422623e-5,0,COL1A2_ITGA1_ITGB1,COL1A2 - (ITGA1+ITGB1),COLLAGEN,ECM-Receptor,KEGG: hsa04512,cirrhotic
Endothelia,Mesenchyme,COL4A1,ITGA1_ITGB1,1.0751273238337333e-4,0,COL4A1_ITGA1_ITGB1,COL4A1 - (ITGA1+ITGB1),COLLAGEN,ECM-Receptor,KEGG: hsa04512,cirrhotic
Mesenchyme,Mesenchyme,COL4A1,ITGA1_ITGB1,4.514255442372591e-6,0,COL4A1_ITGA1_ITGB1,COL4A1 - (ITGA1+ITGB1),COLLAGEN,ECM-Receptor,KEGG: hsa04512,cirrhotic
Cholangiocyte,Mesenchyme,COL4A2,ITGA1_ITGB1,9.245035826908474e-6,0,COL4A2_ITGA1_ITGB1,COL4A2 - (ITGA1+ITGB1),COLLAGEN,ECM-Receptor,KEGG: hsa04512,cirrhotic
Endothelia,Mesenchyme,COL4A2,ITGA1_ITGB1,1.0233499875818348e-4,0,COL4A2_ITGA1_ITGB1,COL4A2 - (ITGA1+ITGB1),COLLAGEN,ECM-Receptor,KEGG: hsa04512,cirrhotic
Mesenchyme,Mesenchyme,COL4A2,ITGA1_ITGB1,6.941416279196447e-6,0,COL4A2_ITGA1_ITGB1,COL4A2 - (ITGA1+ITGB1),COLLAGEN,ECM-Receptor,KEGG: hsa04512,cirrhotic
Mesenchyme,Mesenchyme,COL6A1,ITGA1_ITGB1,1.7794826544019466e-5,0,COL6A1_ITGA1_ITGB1,COL6A1 - (ITGA1+ITGB1),COLLAGEN,ECM-Receptor,KEGG: hsa04512,cirrhotic
Mesenchyme,Mesenchyme,COL6A2,ITGA1_ITGB1,2.2906384418816685e-5,0,COL6A2_ITGA1_ITGB1,COL6A2 - (ITGA1+ITGB1),COLLAGEN,ECM-Receptor,KEGG: hsa04512,cirrhotic
Mesenchyme,Mesenchyme,COL6A3,ITGA1_ITGB1,4.71917075877275e-6,0,COL6A3_ITGA1_ITGB1,COL6A3 - (ITGA1+ITGB1),COLLAGEN,ECM-Receptor,KEGG: hsa04512,cirrhotic
Endothelia,Mesenchyme,LAMA4,ITGA1_ITGB1,3.6884257474226775e-5,0,LAMA4_ITGA1_ITGB1,LAMA4 - (ITGA1+ITGB1),LAMININ,ECM-Receptor,KEGG: hsa04512,cirrhotic
Mesenchyme,Mesenchyme,LAMA4,ITGA1_ITGB1,2.2681951071576424e-6,0,LAMA4_ITGA1_ITGB1,LAMA4 - (ITGA1+ITGB1),LAMININ,ECM-Receptor,KEGG: hsa04512,cirrhotic
Endothelia,Mesenchyme,LAMB2,ITGA1_ITGB1,1.3770286563165948e-5,0,LAMB2_ITGA1_ITGB1,LAMB2 - (ITGA1+ITGB1),LAMININ,ECM-Receptor,KEGG: hsa04512,cirrhotic
Hepatocyte,Mesenchyme,LAMB2,ITGA1_ITGB1,9.362106694728146e-7,0,LAMB2_ITGA1_ITGB1,LAMB2 - (ITGA1+ITGB1),LAMININ,ECM-Receptor,KEGG: hsa04512,cirrhotic
Mesenchyme,Mesenchyme,LAMB2,ITGA1_ITGB1,4.034833335578078e-6,0,LAMB2_ITGA1_ITGB1,LAMB2 - (ITGA1+ITGB1),LAMININ,ECM-Receptor,KEGG: hsa04512,cirrhotic
Cholangiocyte,Mesenchyme,LAMC1,ITGA1_ITGB1,8.562293788912296e-6,0,LAMC1_ITGA1_ITGB1,LAMC1 - (ITGA1+ITGB1),LAMININ,ECM-Receptor,KEGG: hsa04512,cirrhotic
Hepatocyte,Mesenchyme,LAMC1,ITGA1_ITGB1,3.663486472455151e-7,0,LAMC1_ITGA1_ITGB1,LAMC1 - (ITGA1+ITGB1),LAMININ,ECM-Receptor,KEGG: hsa04512,cirrhotic
Cholangiocyte,Mesenchyme,FN1,CD44,2.934237704263313e-6,0,FN1_CD44,FN1 - CD44,FN1,ECM-Receptor,KEGG: hsa04512,cirrhotic
Endothelia,Mesenchyme,FN1,CD44,1.3287789613788817e-5,0,FN1_CD44,FN1 - CD44,FN1,ECM-Receptor,KEGG: hsa04512,cirrhotic
Hepatocyte,Mesenchyme,FN1,CD44,4.074501318682689e-6,0,FN1_CD44,FN1 - CD44,FN1,ECM-Receptor,KEGG: hsa04512,cirrhotic
Mesenchyme,Mesenchyme,FN1,CD44,2.0779109763696054e-6,0,FN1_CD44,FN1 - CD44,FN1,ECM-Receptor,KEGG: hsa04512,cirrhotic
Mesenchyme,Mesenchyme,COL1A1,CD44,8.095169335119463e-6,0,COL1A1_CD44,COL1A1 - CD44,COLLAGEN,ECM-Receptor,KEGG: hsa04512,cirrhotic
Mesenchyme,Mesenchyme,COL1A2,CD44,7.950869013600858e-6,0,COL1A2_CD44,COL1A2 - CD44,COLLAGEN,ECM-Receptor,KEGG: hsa04512,cirrhotic
Endothelia,Mesenchyme,COL4A1,CD44,3.3614335777979986e-5,0,COL4A1_CD44,COL4A1 - CD44,COLLAGEN,ECM-Receptor,KEGG: hsa04512,cirrhotic
Mesenchyme,Mesenchyme,COL4A1,CD44,1.397954435160045e-6,0,COL4A1_CD44,COL4A1 - CD44,COLLAGEN,ECM-Receptor,KEGG: hsa04512,cirrhotic
Cholangiocyte,Mesenchyme,COL4A2,CD44,2.8595073709972087e-6,0,COL4A2_CD44,COL4A2 - CD44,COLLAGEN,ECM-Receptor,KEGG: hsa04512,cirrhotic
Endothelia,Mesenchyme,COL4A2,CD44,3.1975090640291745e-5,0,COL4A2_CD44,COL4A2 - CD44,COLLAGEN,ECM-Receptor,KEGG: hsa04512,cirrhotic
Mesenchyme,Mesenchyme,COL4A2,CD44,2.1537507331121467e-6,0,COL4A2_CD44,COL4A2 - CD44,COLLAGEN,ECM-Receptor,KEGG: hsa04512,cirrhotic
Mesenchyme,Mesenchyme,COL6A1,CD44,5.569540752579961e-6,0,COL6A1_CD44,COL6A1 - CD44,COLLAGEN,ECM-Receptor,KEGG: hsa04512,cirrhotic
Mesenchyme,Mesenchyme,COL6A2,CD44,7.199014572676249e-6,0,COL6A2_CD44,COL6A2 - CD44,COLLAGEN,ECM-Receptor,KEGG: hsa04512,cirrhotic
Mesenchyme,Mesenchyme,COL6A3,CD44,1.461650273345524e-6,0,COL6A3_CD44,COL6A3 - CD44,COLLAGEN,ECM-Receptor,KEGG: hsa04512,cirrhotic
Endothelia,Mesenchyme,LAMA4,CD44,1.1432515415494455e-5,0,LAMA4_CD44,LAMA4 - CD44,LAMININ,ECM-Receptor,KEGG: hsa04512,cirrhotic
Mesenchyme,Mesenchyme,LAMA4,CD44,7.011500826984022e-7,0,LAMA4_CD44,LAMA4 - CD44,LAMININ,ECM-Receptor,KEGG: hsa04512,cirrhotic
Endothelia,Mesenchyme,LAMB2,CD44,4.2561703877630965e-6,0,LAMB2_CD44,LAMB2 - CD44,LAMININ,ECM-Receptor,KEGG: hsa04512,cirrhotic
Hepatocyte,Mesenchyme,LAMB2,CD44,2.8950924648767395e-7,0,LAMB2_CD44,LAMB2 - CD44,LAMININ,ECM-Receptor,KEGG: hsa04512,cirrhotic
Mesenchyme,Mesenchyme,LAMB2,CD44,1.2490121616101453e-06,0,LAMB2_CD44,LAMB2 - CD44,LAMININ,ECM-Receptor,KEGG: hsa04512,cirrhotic
Cholangiocyte,Mesenchyme,LAMC1,CD44,2.647867557839737e-6,0,LAMC1_CD44,LAMC1 - CD44,LAMININ,ECM-Receptor,KEGG: hsa04512,cirrhotic
Hepatocyte,Mesenchyme,LAMC1,CD44,1.1313853032018705e-7,0,LAMC1_CD44,LAMC1 - CD44,LAMININ,ECM-Receptor,KEGG: hsa04512,cirrhotic
Mesenchyme,Mesenchyme,THBS1,CD47,1.720275652316322e-6,0,THBS1_CD47,THBS1 - CD47,THBS,ECM-Receptor,KEGG: hsa04512,cirrhotic
Cholangiocyte,Mesenchyme,APP,CD74,1.1719653424842829e-4,0,APP_CD74,APP - CD74,APP,Cell-Cell Contact,PMID: 19849849,cirrhotic
Endothelia,Mesenchyme,APP,CD74,3.023859012384771e-4,0,APP_CD74,APP - CD74,APP,Cell-Cell Contact,PMID: 19849849,cirrhotic
pDC,Mesenchyme,APP,CD74,1.2268459296975886e-5,0,APP_CD74,APP - CD74,APP,Cell-Cell Contact,PMID: 19849849,cirrhotic
Cycling,Mesenchyme,CD99,CD99,3.7915188782977205e-5,0,CD99_CD99,CD99 - CD99,CD99,Cell-Cell Contact,KEGG: hsa04514,cirrhotic
Endothelia,Mesenchyme,CD99,CD99,4.688181678224129e-4,0,CD99_CD99,CD99 - CD99,CD99,Cell-Cell Contact,KEGG: hsa04514,cirrhotic
ILC,Mesenchyme,CD99,CD99,3.60097571517174e-4,0,CD99_CD99,CD99 - CD99,CD99,Cell-Cell Contact,KEGG: hsa04514,cirrhotic
Mast cell,Mesenchyme,CD99,CD99,6.012341928445167e-6,0,CD99_CD99,CD99 - CD99,CD99,Cell-Cell Contact,KEGG: hsa04514,cirrhotic
Mesenchyme,Mesenchyme,CD99,CD99,7.665240924672333e-5,0,CD99_CD99,CD99 - CD99,CD99,Cell-Cell Contact,KEGG: hsa04514,cirrhotic
pDC,Mesenchyme,CD99,CD99,1.5046318978165051e-5,0,CD99_CD99,CD99 - CD99,CD99,Cell-Cell Contact,KEGG: hsa04514,cirrhotic
T cell,Mesenchyme,CD99,CD99,4.378909481833126e-4,0,CD99_CD99,CD99 - CD99,CD99,Cell-Cell Contact,KEGG: hsa04514,cirrhotic
Endothelia,Mesenchyme,ESAM,ESAM,5.392706322803361e-5,0,ESAM_ESAM,ESAM - ESAM,ESAM,Cell-Cell Contact,KEGG: hsa04514; PMID: 11279107,cirrhotic
Mesenchyme,Mesenchyme,ESAM,ESAM,1.5564340696470314e-6,0,ESAM_ESAM,ESAM - ESAM,ESAM,Cell-Cell Contact,KEGG: hsa04514; PMID: 11279107,cirrhotic
Endothelia,Mesenchyme,DLL4,NOTCH3,2.1690422161578425e-5,0,DLL4_NOTCH3,DLL4 - NOTCH3,NOTCH,Cell-Cell Contact,PMID: 22353464,cirrhotic
Cholangiocyte,Mesenchyme,JAG1,NOTCH3,5.6343972346878514e-6,0,JAG1_NOTCH3,JAG1 - NOTCH3,NOTCH,Cell-Cell Contact,PMID: 22353464,cirrhotic
